DestAddr,DestCode,DestName,Distance,Duration,OrigAddr,OrigCode,OrigName
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,399087,14189,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,4231614,139387,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,4529448,147831,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,4445559,144876,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,1318501,44558,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,1554766,50975,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,2224089,72755,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,737801,28286,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,62927,2975,"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,4236959,139668,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1741107,58911,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,647141,22989,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,0,0,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,1588172,53463,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,1571941,52278,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,1395471,46945,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,1025725,34428,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,3164595,102526,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,1137679,38457,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,2402286,78636,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,2957600,97233,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,2266899,75420,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,4786472,154527,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,4797152,155193,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,1727627,57877,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,2237296,74547,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,326367,11927,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,327102,11942,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,4983199,162713,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,496440,18121,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,919319,32834,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,4805026,157968,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,4980296,162724,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,4896408,159769,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,1891913,63138,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
